,city,city_id,lat,max_temp,cloudiness,country,date,humidity,long,wind_speed
279,qui nhon,1568574,13.77,72.48,99,VN,1607227969,87,109.23,18.34
280,malanje,2239862,-9.54,61.84,100,AO,1607227969,99,16.34,5.46
281,aripuana,3665202,-9.17,73.33,91,BR,1607227969,97,-60.63,2.57
282,te anau,2181625,-45.42,55.33,98,NZ,1607227969,64,167.72,7.49
283,necochea,3430443,-38.55,53.01,0,AR,1607227895,78,-58.74,15.26
284,kodiak,5866583,57.79,35.6,90,US,1607227875,64,-152.41,17.22
285,harper,2276492,4.38,77.49,15,LR,1607227970,85,-7.72,4.99
286,katsuura,2112309,35.13,57.0,75,JP,1607227971,62,140.3,5.82
287,saint george,5546220,37.1,43.0,1,US,1607227971,18,-113.58,1.7
288,karaton,1630058,-6.34,82.99,40,ID,1607227971,88,106.1,5.82
289,narsaq,3421719,60.92,26.6,100,GL,1607227971,86,-46.05,5.19
290,gat,293842,31.61,55.99,0,IL,1607227971,100,34.76,7.58
291,faya,110690,18.39,51.8,48,SA,1607227972,93,42.45,3.13
292,hofn,2630299,64.25,28.74,0,IS,1607227972,87,-15.21,9.28
293,ondjiva,3346821,-17.07,65.8,8,AO,1607227972,34,15.73,4.45
294,bronnoysund,3159954,65.46,37.0,99,NO,1607227972,80,12.2,9.17
295,santa barbara,5392967,34.73,51.8,1,US,1607227928,62,-120.03,4.0
296,dali,1814093,25.7,55.54,9,CN,1607227973,51,100.18,4.9
297,qasigiannguit,3420768,68.82,28.4,100,GL,1607227973,86,-51.19,4.7
298,cabedelo,3404558,-6.98,78.8,20,BR,1607227973,83,-34.83,8.05
299,temba,989747,-25.38,57.99,11,ZA,1607227973,93,28.26,8.05
300,kruisfontein,986717,-34.0,66.0,96,ZA,1607227974,94,24.73,1.99
301,chokurdakh,2126123,70.63,-30.75,6,RU,1607227974,81,147.92,5.64
302,takanosu,2127910,40.22,35.6,75,JP,1607227974,100,140.37,0.31
303,hay river,5972762,60.82,32.0,100,CA,1607227974,89,-115.8,6.93
